,Visitor,G,Home,G.1,Total_goal,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GF/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,Assist-EV,PP,Assist-SH,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Rk,Age,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TK,GV,E+/-,SAtt,Thru%,Rk.1,AvAge.1,GP.1,W.1,L.1,OL.1,PTS.1,PTS%.1,GF.1,GA.1,SOW.1,SOL.1,SRS.1,SOS.1,GF/G.1,GF/G.1,PP.1,PPO.1,PP%.1,PPA.1,PPOA.1,PK%.1,SH.1,SHA.1,PIM/G.1,oPIM/G.1,S.1,S%.1,SA.1,SV%.1,SO.1,Rk.1,Age.1,GP.1,G.1,A.1,PTS.1,+/-.1,PIM.1,PS.1,EV.1,PP.1,SH.1,GW.1,Assist-EV.1,PP.1,Assist-SH.1,S.1,S%.1,TOI.1,BLK.1,HIT.1,FOW.1,FOL.1,FO%.1,Rk.1,Age.1,GP.1,CF.1,CA.1,CF%.1,CF% rel.1,FF.1,FA.1,FF%.1,FF rel.1,oiSH%.1,oiSV%.1,PDO.1,oZS%.1,dZS%.1,TK.1,GV.1,E+/-.1,SAtt.1,Thru%.1
0,Calgary Flames,0,Edmonton Oilers,3,3,0.6333333333333333,0.5263157894736841,0.0,0.4137931034482758,0.6296296296296297,0.5555555555555556,0.3999999999999999,0.3999999999999999,0.19565217391304346,0.4505494505494507,0.2857142857142857,0.7142857142857142,0.37790697674418605,0.7142857142857143,0.19469026548672508,0.4504504504504503,0.32432432432432434,0.6860465116279069,0.10798946444249347,0.4411764705882353,0.7222222222222221,0.7273497036409831,0.5,0.4,0.9607843137254897,0.8958333333333333,0.8558558558558564,0.032258064516129004,0.33938294010889347,0.3999999999999986,0.20000000000000004,0.17900521848675144,0.7064589833673187,0.504032258064516,0.3688930531388035,0.39843212034535735,0.3874291602266873,0.36646558193964773,0.7115766936840495,0.38281836234665934,0.43036053130929797,0.3010752688172045,0.48387096774193544,0.4472152732060566,0.4788423068217271,0.3515151515151518,0.2306300874283992,0.6728510272988228,0.0,0.4992667766884722,0.23661791885493932,0.3457278612185537,0.4154898325542724,0.5832876326964747,0.36666837571780153,0.2393640397083876,0.6905077262693169,0.584580103453834,0.6941117460443407,0.43928429059044216,0.761441879303363,0.5345368027493484,0.7402463124439738,0.5680243260392914,0.9156618168607178,0.6210916799152094,0.12866399259487848,0.520744286388453,0.31743579330254335,0.45657219595879717,0.5433097143211918,0.6072449952335558,0.543718448321672,0.7990123884605389,0.7363469458641392,0.34269149317811065,0.7333333333333333,0.10526315789473717,0.0,0.3793103448275863,0.8148148148148148,0.11111111111111105,0.290909090909091,0.29253731343283573,0.3369565217391304,0.6593406593406597,0.7142857142857142,0.14285714285714285,0.38372093023255816,0.7142857142857143,0.3362831858407076,0.666666666666667,0.0,0.0,0.0,0.6764705882352942,0.5000000000000002,0.29974597798475955,0.9000000000000001,0.19999999999999996,0.5882352941176467,0.14583333333333326,0.8130630630630629,0.22580645161290303,0.48457350272232347,0.2666666666666657,0.0,0.5289696626471221,0.36981303589416026,0.504032258064516,0.46401641904252,0.43317972350230427,0.4446660351332037,0.4664231039803359,0.4676506716524673,0.38281836234665934,0.6455407969639468,0.0,0.866188769414576,0.33061224489795915,0.646494925457137,0.0,0.8601145613506181,0.6587091408708181,0.1418490412347997,0.5053494585347487,0.5117289198015045,0.8303449402992498,0.3456149590374844,0.552120061763028,0.12637578616352174,0.7289463069874964,0.09139072847682161,0.5974223852019012,0.6867312573079116,0.6357650394620646,0.6301778415994699,0.7008635774261364,0.7407539456170378,0.7346975370304056,0.7079159674526716,0.47668256491785926,0.344372450203984,0.3581878244454906,0.38100241023422576,0.5992951569207365,0.40088034499796876,0.6850969176993961,0.8986748295102293,0.591245139656833,0.652438925552854,0.531320518903406
1,St. Louis Blues,5,Pittsburgh Penguins,4,9,0.5666666666666667,0.552631578947369,0.0,0.6551724137931034,0.5185185185185185,0.11111111111111105,0.5818181818181818,0.5820895522388059,0.2717391304347827,0.2197802197802199,0.42857142857142855,0.0,0.627906976744186,0.8571428571428572,0.27433628318584047,0.22522522522522515,0.18918918918918926,0.41860465116279055,0.06057945566286205,0.38235294117647056,0.37037037037037046,0.5469940728196452,0.3,0.6,0.2941176470588234,0.27083333333333326,0.6711711711711716,0.19354838709677447,0.12885662431942002,0.5333333333333314,0.30000000000000004,0.748084724843507,0.8321401370906321,0.5729166666666665,0.47450437989857086,0.5152709359605911,0.5000858663918941,0.615989173996773,0.2845847988989143,0.574244955661226,0.635294117647059,0.20740740740740737,0.30864197530864196,0.6619591836734693,0.7125924521145459,0.18585858585858595,0.24112149532710286,0.6793196309057064,0.13695368239611216,0.5736525498020013,0.5834149863338665,0.6565276452015567,0.466114863464965,0.5402707690297719,0.616090146750524,0.6448273929897663,0.7694005773475974,0.5954299060258645,0.6012199088679653,0.4718925820091828,0.48123632813790707,0.06275510055864297,0.6264974329720481,0.47016537125288105,0.6767868050500452,0.12118000353294478,0.20784183419172653,0.8245906995317078,0.5002305648124832,0.1448570758088472,0.8549570971360492,0.46762484417393846,0.08627020840288036,0.5690532312192498,0.6200849653993106,0.4710331155657683,0.3333333333333333,0.3421052631578947,0.0,0.7586206896551724,0.40740740740740733,0.11111111111111105,0.6909090909090909,0.6925373134328359,0.7826086956521738,0.5054945054945055,0.2857142857142857,0.2857142857142857,0.7034883720930233,0.2142857142857143,0.7787610619469025,0.5045045045045042,1.0,0.5813953488372094,1.0,0.5588235294117647,0.6851851851851853,0.5766299745977994,0.4000000000000001,0.0,0.6470588235294115,0.4583333333333335,1.0,0.6129032258064515,0.3375680580762257,0.33333333333333215,0.30000000000000004,0.6057224280665996,0.6968405277252288,0.504032258064516,0.7640208807388569,0.7719688542825363,0.7690083262701302,0.5711405080229616,0.49859651026841423,0.6857149964139281,0.7377609108159391,0.9283154121863799,0.38829151732377537,0.7387228439763003,0.6869627989208569,0.9454545454545455,0.30931564666867656,0.7239189505110621,0.8813491700675753,0.4975533451824785,0.3686711993092906,0.651544687331977,0.4675534638020753,0.571494497748684,0.37234669811320664,0.7096166445014633,0.64150110375276,0.6311416555544158,0.7325015125516996,0.5376169951250305,0.6534530150146418,0.4558033683788793,0.8156018254420994,0.6262572956128944,0.8571422124171386,0.4873005998325692,0.3854822049018689,0.16607095225392499,0.3255428400996294,0.4620630463976694,0.5378200570730001,0.49583454221411694,0.5127227148979755,0.9974137623515144,0.7644043070510596,0.9929685499212852
2,Philadelphia Flyers,5,San Jose Sharks,3,8,0.4,0.2631578947368425,0.0,0.5862068965517242,0.2962962962962963,0.9999999999999998,0.6545454545454545,0.6567164179104477,0.5543478260869565,0.37362637362637363,0.2857142857142857,1.0,0.6104651162790697,0.2857142857142857,0.5575221238938051,0.37837837837837807,0.6216216216216217,0.5930232558139537,0.5206321334503952,0.588235294117647,0.2962962962962965,0.21930567315834093,0.10000000000000003,0.7,0.41176470588235303,0.4375000000000002,0.5675675675675675,0.5806451612903225,0.14700544464609866,0.36666666666666714,0.20000000000000004,0.8304103647115291,0.5140898705255141,0.7254464285714284,0.805572021339656,0.9038235984048792,0.8672260248767203,0.6713813563732889,0.46368492342647416,0.7220472946921986,0.9075630252100841,0.7222222222222223,0.13227513227513227,0.7179008746355684,0.961359757253935,0.7450216450216451,0.2643524699599466,0.794544204755681,0.18642102550888962,0.7374153978268558,0.6481615182301068,0.5518157406144777,0.6495070472559803,0.5242918734295934,1.0,0.914202412381341,0.40852436746476606,0.751546509701192,0.6269685106954384,0.6835821286452874,0.3820785667687252,0.7124717119807568,0.6730494975646149,0.7799372034816936,0.5761798362874435,0.7841506665036078,0.3496151077144598,0.4859694340581555,0.4420426616211799,0.3004981790757624,0.6993498154994766,0.30336584292732993,0.5578592207544469,0.6582784300920069,0.684475378737275,0.7411580700553428,0.3,0.6315789473684212,0.0,0.6896551724137931,0.33333333333333337,0.5555555555555556,0.6909090909090909,0.6925373134328359,0.5326086956521738,0.2637362637362637,0.7142857142857142,0.42857142857142855,0.7325581395348837,0.5,0.5309734513274331,0.2702702702702702,0.5945945945945945,0.5465116279069768,0.5144863915715541,0.0,0.3055555555555556,0.9847586790855205,0.6000000000000001,0.0,0.2941176470588234,0.22916666666666674,0.7274774774774775,0.45161290322580605,0.2196007259528132,0.5333333333333314,0.5000000000000001,0.3466981446326032,0.9999999999999991,0.8101851851851851,0.8634803544900365,0.9476372924648786,0.9162898086133531,0.5555092905845,0.40643319569760905,0.8331405560553488,0.9176470588235295,0.748971193415638,0.6927297668038408,0.7657142857142856,1.0,0.7147025813692482,0.7289719626168225,0.9433509783990952,0.4700201360855836,0.8204273013377943,1.0,0.293401375529285,0.7175705312074601,0.7799334781354283,0.7874410377358485,0.5300614858634338,1.0,0.9300441070879064,1.0,1.0000000000000002,0.6358518888499365,0.7718864990632445,0.9999999999999998,1.0,0.8518769523772258,0.6937474558957937,0.5036779666322351,0.004288323039972397,0.3281223549896133,0.5229028437738479,0.47699348050478196,0.9113026899324409,0.7983773147524192,0.5955124317768344,1.0,0.3287166433794435
3,Toronto Maple Leafs,7,Winnipeg Jets,2,9,0.2,0.5000000000000009,0.0,0.8275862068965518,0.2962962962962963,0.2222222222222221,0.7818181818181817,0.782089552238806,0.7826086956521738,0.30769230769230793,1.0,0.2857142857142857,0.8546511627906976,0.07142857142857145,0.7787610619469025,0.30630630630630584,0.6756756756756757,0.1627906976744189,0.8990342405618965,0.2647058823529411,0.37037037037037046,0.6943268416596107,0.2,0.19999999999999996,0.1568627450980391,0.0,0.5878378378378377,0.8064516129032255,0.7422867513611617,0.8000000000000007,0.7000000000000001,0.5043301472039734,0.6532368621477529,0.5729166666666665,0.8298755186721993,0.7666119321291736,0.7901768847673019,0.7537084265861655,0.15855635418259673,0.7797455339930602,0.9529411764705882,0.6740740740740743,0.20987654320987653,0.692081632653061,0.8320690309121941,0.6367676767676769,0.24112149532710286,0.6484693675497999,0.9999999999999998,0.5813544244214417,0.3007580836470527,0.393017108451428,0.6083992872829733,0.6020724119347411,0.5232900943396226,0.5461033753199833,0.5284114136211278,0.6548135991155788,0.704563540824447,0.7149772830524592,0.5734588129619862,0.6290211810057725,0.7200407766580041,0.9406489689518636,0.5440932515997838,0.6354851583609755,0.5814734821214305,0.38033663677834895,0.5452554092934765,0.09369502397921226,0.9061080311827303,0.6744695124104084,0.8620582765034098,0.7464529238688266,0.689541378822379,0.3506313993393486,0.03333333333333333,0.10526315789473717,0.0,0.9310344827586208,0.07407407407407407,0.5555555555555556,0.9454545454545455,0.9462686567164178,0.8152173913043481,0.15384615384615374,0.5714285714285714,0.2857142857142857,1.0,0.6428571428571428,0.8141592920353982,0.15315315315315292,0.8918918918918919,0.7441860465116279,0.7550482879719054,0.47058823529411753,0.7685185185185184,0.7248094834885697,0.7,0.4,0.4509803921568627,0.35416666666666674,0.5945945945945947,0.838709677419355,0.4464609800362984,0.8000000000000007,0.6000000000000001,0.6594833141332734,0.3969508214557722,0.7254464285714284,1.0,0.9999999999999998,1.0,0.9137953469005361,0.47577720490245357,0.981181265720528,0.9983193277310927,1.0,0.7671957671957672,0.9760932944606413,0.9421581642328842,1.0000000000000002,0.6128170894526035,0.8049822637858752,0.9542643648544191,0.7213856341484632,0.6655664999226447,0.7259750034091026,0.7147333822685003,0.6707132708553512,0.7854428721173994,0.6519588616138512,0.3429105111224322,0.7121657448101189,0.6284191361505069,0.5488705989677662,0.5832622892161181,0.7734779665743825,0.6735541269910921,0.6343547795476852,0.7508447126114053,0.7518106341635754,0.8218973251370669,0.5076923076923094,0.7580828416994283,0.20764686669067167,0.7921809508060291,0.5107428320011732,0.6318970861748295,0.8911790774060242,0.6741881529377187,0.6897502067441796
4,Arizona Coyotes,4,Anaheim Ducks,5,9,0.9333333333333333,0.02631578947368496,0.0,0.13793103448275867,0.8518518518518517,0.7777777777777777,0.1454545454545455,0.14626865671641776,0.08695652173913038,0.5384615384615388,0.2857142857142857,0.7142857142857142,0.26162790697674415,0.8571428571428572,0.08849557522123863,0.5405405405405403,0.2702702702702702,0.3837209302325584,0.18525021949078146,0.3529411764705883,0.3055555555555556,0.5309060118543609,0.0,0.7,0.3137254901960782,0.29166666666666696,0.15990990990990994,0.22580645161290303,0.49909255898366656,0.3999999999999986,0.4,0.15181827993291952,0.03887804645849169,0.439453125,0.24861687413554634,0.23840311986863716,0.24220762493560022,0.23090810909280174,0.2354431105673651,0.2537430921475391,0.3474264705882353,0.21875,0.0,0.18941326530612246,0.3437085150768062,0.21325757575757587,0.06834112149532712,0.37071551621717935,0.3240573735291592,0.4496977386674268,0.31355074519106796,0.6364614692708714,0.31759222330418924,0.5966865293224242,0.3171238828202587,0.3336840582056131,0.044002943340692546,0.4530132245282519,0.4532964076024688,0.5673812562344345,0.18875583611644053,0.24129254069961786,0.4300564112315395,0.7183350680156004,0.1408718373581772,0.35245703219559443,0.4022878169746422,0.2597486585216515,0.37276229322456444,0.3215448357076798,0.6783077324167421,0.12876460826889802,0.2529448233106013,0.18818958079829184,0.44445422150180747,0.08511065078942526,0.26666666666666666,0.6052631578947372,0.0,0.6551724137931034,0.2592592592592592,0.8888888888888888,0.709090909090909,0.7104477611940299,0.3586956521739131,0.0769230769230771,0.5714285714285714,1.0,0.7093023255813954,0.5714285714285714,0.3628318584070791,0.0810810810810807,0.18918918918918926,0.04651162790697683,0.26338893766461813,0.3529411764705883,0.7685185185185184,0.8484335309060116,0.8,0.09999999999999998,0.7450980392156861,0.35416666666666674,0.21621621621621667,0.5161290322580645,0.633393829401089,1.0,0.8,0.5716994287165695,0.9573187048434582,0.16891891891891908,0.20455310081866096,0.2048551014068256,0.20474260968851388,0.7251720048784536,0.3241879285616862,0.39873635362647064,0.3004769475357709,0.02102102102102099,0.6156156156156156,0.4038830667402096,0.33462668053982303,0.06060606060606066,0.5751452386966407,0.1351833002064673,0.4936871940221592,0.1668911653494951,0.13137468343491743,0.34078979486131256,0.13993399192089795,0.10302473361608167,7.690730106646448e-05,0.6152349352094721,0.8939257993306287,0.17340240024617914,0.186908410448674,0.19636079760154823,0.0,0.08469767277538265,0.21616859577130443,0.2673225650401143,0.10283426521561179,0.2571983748454338,0.4630623098539215,0.805093699097263,0.6565944526734846,0.4061827268372489,0.5938915191114713,0.0510163289154032,0.3490890546567206,0.26859530760405637,0.18118791246960742,0.6062513742145295
5,Nashville Predators,3,Boston Bruins,4,7,0.0,0.5263157894736841,0.0,0.9655172413793103,0.0,0.6666666666666665,0.9999999999999998,0.9999999999999998,0.6847826086956523,0.0219780219780219,0.8571428571428571,1.0,0.9825581395348837,0.7142857142857143,0.6814159292035398,0.027027027027027195,0.7297297297297296,0.7441860465116279,0.5627743634767342,0.588235294117647,0.9999999999999998,0.740897544453853,0.8,0.19999999999999996,0.9999999999999998,0.5625000000000002,0.5900900900900901,0.7096774193548385,0.5299455535390205,1.0,1.0,0.3392197703600801,0.6797410510281798,0.8101851851851851,0.9810972798524666,0.902754971720489,0.9319365733585205,1.0,1.0,1.0,1.0000000000000002,0.8930041152263377,0.9122085048010973,1.0,0.8606106580694104,0.8399551066217736,1.0,0.8874236003854628,0.546842642694227,0.811968026532278,0.680521891599196,0.6030178427197297,0.8709451174126102,0.7596230790586778,0.6044873386295926,0.4881708342887916,0.750511739915714,0.890657783082647,0.8458645949892989,0.8056123685468182,0.46868329824256083,0.2161026405144384,0.8884574495669761,0.9396158276890323,0.5492920310836356,0.17288946700711427,0.49420773610838453,1.0,0.7632689293278858,0.13357298562580278,0.866238735226946,0.7722506283040124,0.7460266020402412,0.318973093399662,0.914465881461366,0.47295914019670926,0.1,0.5789473684210531,0.0,0.8620689655172413,0.07407407407407407,0.7777777777777777,0.909090909090909,0.9104477611940298,0.75,0.098901098901099,0.42857142857142855,0.42857142857142855,0.930232558139535,0.0,0.7522123893805306,0.09909909909909898,0.8108108108108107,0.558139534883721,0.7796312554872697,0.17647058823529416,0.5000000000000002,0.8873835732430146,0.7,0.7,0.6470588235294115,0.5625000000000002,0.7297297297297298,0.7096774193548385,0.058076225045372354,0.6333333333333329,0.30000000000000004,0.09735355440943794,0.7100315526058099,0.2678571428571428,0.5187907528156492,0.5248885761201032,0.5226172076249358,0.7827512621662416,0.3536451619950627,0.6641232305799843,0.517310924369748,0.577777777777778,0.5767195767195765,0.6404431486880464,0.5581263038118718,0.47930735930735935,0.6128170894526035,0.3869379996266058,0.4271488549039817,0.2647934661304443,0.0,0.4016709848635833,0.26922234521787014,0.29281549864568834,0.6689858490566039,0.06478198313176153,0.6295805739514355,0.4422266752633972,0.4833047825916519,0.20168868055481437,0.7610614038317571,0.4486196608633255,0.5275089642245947,0.2794191691415433,0.9632372022213378,0.577813107224872,0.3244883266481542,0.6393986381716417,0.49489259890347626,0.5567484067286137,0.44315527236885943,0.55767397521449,0.42714329997343026,0.9778876681054471,0.47913908599216004,0.6938582200637691
6,Montreal Canadiens,3,Buffalo Sabres,2,5,0.9,0.36842105263157965,0.0,0.13793103448275867,0.8148148148148148,0.8888888888888888,0.16363636363636358,0.16417910447761197,0.09782608695652195,0.6153846153846154,0.2857142857142857,0.8571428571428571,0.17441860465116277,0.5,0.09734513274336232,0.6216216216216215,0.5675675675675675,0.3953488372093026,0.5750658472344161,1.0,0.6666666666666667,0.08044030482641862,0.5,0.30000000000000004,0.4705882352941173,0.3958333333333335,0.6936936936936942,0.0,0.5136116152450096,0.33333333333333215,0.30000000000000004,0.5269400428384041,0.5842480175619365,0.3216911764705883,0.16939223822309013,0.08123249299719904,0.11407097614934703,0.28461427771025133,0.27672876766550014,0.1759829751203913,0.11211072664359856,0.41176470588235303,0.42483660130718953,0.14456182472989187,0.028764739349181667,0.3921568627450982,0.3463441451346895,0.43079831433583293,0.005941464449732647,0.32071965450730944,0.44237320527716006,0.6775514743675575,0.20153329222129313,0.4559911466423814,0.6283973495058395,0.5203508497330098,0.4652277001062872,0.421862831135577,0.4285014576945321,0.3549789501820464,0.5261107542733043,0.43221952266855773,0.3972554985104899,0.37275308618706626,0.573247191450398,0.41565748755291254,0.1164440178119086,0.21052907555974798,0.1684073913849513,0.4781915812710009,0.5216950270151255,0.35416445997952184,0.6109733415995039,0.612064352727143,0.5009563505846937,0.4856419494494797,0.9999999999999999,0.18421052631579027,0.0,0.0,0.9999999999999999,0.7777777777777777,0.0,0.0,0.0,0.8351648351648353,0.14285714285714285,0.2857142857142857,0.0,0.5714285714285714,0.0,0.8378378378378377,0.4864864864864864,0.5465116279069768,0.37840210711150135,0.5294117647058822,0.4074074074074072,0.39627434377646154,0.7,0.7,0.39215686274509776,0.3958333333333335,0.40090090090090147,0.0,0.5698729582577133,0.09999999999999787,0.20000000000000004,0.4671952547256266,0.40334022413230386,0.2678571428571428,0.07160640189685852,0.044006568144499436,0.05428718628100393,0.0,0.18112861293775806,0.04220170011199453,0.0,0.3111111111111111,0.5767195767195765,0.046600583090378955,0.0,0.30753246753246755,0.6128170894526035,0.2853408917327178,0.23564272397956865,0.26964982057028863,0.013923985354030277,0.27445900160490067,0.24616559423670026,0.20850661758015643,0.35155548068283915,0.4944081066274961,0.429028697571745,0.24698045953431147,0.09515561925354343,0.11594754112996353,0.2523181388612743,0.509753011820688,0.14616906731317747,0.2348645481903111,0.29566804491116283,0.486729376435259,0.0,0.0,0.0,0.47145793064902985,0.5284272143793998,0.0,0.0944183973961562,0.024293355152855356,0.10491403265022581,0.6416916436184379
7,Pittsburgh Penguins,1,Chicago Blackhawks,10,11,0.3333333333333333,0.3421052631578947,0.0,0.7586206896551724,0.40740740740740733,0.11111111111111105,0.6909090909090909,0.6925373134328359,0.7826086956521738,0.5054945054945055,0.2857142857142857,0.2857142857142857,0.7034883720930233,0.2142857142857143,0.7787610619469025,0.5045045045045042,1.0,0.5813953488372094,1.0,0.5588235294117647,0.6851851851851853,0.5766299745977994,0.4000000000000001,0.0,0.6470588235294115,0.4583333333333335,1.0,0.6129032258064515,0.3375680580762257,0.33333333333333215,0.30000000000000004,0.6057224280665996,0.6968405277252288,0.504032258064516,0.7640208807388569,0.7719688542825363,0.7690083262701302,0.5711405080229616,0.49859651026841423,0.6857149964139281,0.7377609108159391,0.9283154121863799,0.38829151732377537,0.7387228439763003,0.6869627989208569,0.9454545454545455,0.30931564666867656,0.7239189505110621,0.8813491700675753,0.4975533451824785,0.3686711993092906,0.651544687331977,0.4675534638020753,0.571494497748684,0.37234669811320664,0.7096166445014633,0.64150110375276,0.6311416555544158,0.7325015125516996,0.5376169951250305,0.6534530150146418,0.4558033683788793,0.8156018254420994,0.6262572956128944,0.8571422124171386,0.4873005998325692,0.3854822049018689,0.16607095225392499,0.3255428400996294,0.4620630463976694,0.5378200570730001,0.49583454221411694,0.5127227148979755,0.9974137623515144,0.7644043070510596,0.9929685499212852,0.8,0.4210526315789478,0.0,0.27586206896551735,0.7777777777777778,0.5555555555555556,0.25454545454545463,0.25373134328358216,0.32608695652173925,0.5714285714285716,0.14285714285714285,0.2857142857142857,0.41860465116279066,1.0,0.32743362831858347,0.5765765765765765,0.32432432432432434,0.6860465116279069,0.10798946444249347,0.4411764705882353,0.41666666666666674,0.5122777307366642,0.3,0.4,0.2549019607843135,0.41666666666666674,0.9324324324324325,0.16129032258064502,0.5989110707803995,0.43333333333333357,0.1,0.5000553467752202,0.36500380807311483,0.439453125,0.4045643153526972,0.3940886699507391,0.39799072642967537,0.38922376776141154,0.17724900596421467,0.3693371674591954,0.5161764705882355,0.26736111111111116,0.27777777777777773,0.33061224489795915,0.5117224540109995,0.2719696969696971,0.22079439252336452,0.631014613282642,0.3464152280340118,0.43965542370026833,0.33334891186632976,0.04772743960643222,0.3461287448721668,0.505289733477047,0.28066037735849036,0.558433372419201,0.3809827487531692,0.4096735467645307,0.5922878169455503,0.3885334703947625,0.639351527970403,0.5595041773145175,0.5238427246413557,0.4747852123630376,0.6741646755486865,0.7142567404005313,0.30928192411273714,0.3618792931676289,0.3612261294110386,0.568304314188202,0.4316018760687408,0.35811884334286603,0.31649101053936757,0.4688634162646933,0.6033205974296632,0.49194244178795143
8,Minnesota Wild,2,Detroit Red Wings,4,6,0.23333333333333334,0.8157894736842106,0.0,0.6896551724137931,0.2962962962962963,0.6666666666666665,0.709090909090909,0.7104477611940299,0.5652173913043481,0.296703296703297,0.42857142857142855,0.42857142857142855,0.7383720930232558,0.7857142857142857,0.5663716814159288,0.29729729729729737,0.4864864864864864,0.34883720930232576,0.4969271290605797,0.5,0.7499999999999998,0.6824724809483493,0.5,0.30000000000000004,0.41176470588235303,0.14583333333333326,0.218468468468469,0.7741935483870965,0.3666061705989119,0.5999999999999979,0.5000000000000001,0.7470759711639947,0.7399778439382398,0.3787878787878787,0.5068108470598098,0.5164949992536199,0.5128877648197587,0.7161486304254222,0.24645136175951277,0.5765442628313727,0.5967914438502675,0.37710437710437716,0.4433221099887767,0.5770686456400742,0.5969174008240952,0.40220385674931136,0.43330501274426514,0.33118400351381205,0.4827793524005841,0.3744822331019848,0.41978706147650513,0.0,0.2597348783069582,0.35288755469050415,0.5002172293942397,0.6917222018208706,0.6884768211920544,0.3155451841214485,0.19779492554057887,0.27779258816331853,0.03696585130364127,0.2490275312511801,0.24578817265639863,0.31314309767482795,0.07395233234722376,0.13189660248483825,1.0,0.7978417492527896,1.0,0.16363744569422245,0.8363908700747369,0.14458214172227513,0.0,0.8666535868440766,0.23150723630890346,1.0000000000000004,0.8666666666666667,1.0,0.0,0.1724137931034484,0.7777777777777778,0.8888888888888888,0.19999999999999996,0.19999999999999996,0.1521739130434785,0.5714285714285716,0.7142857142857142,0.14285714285714285,0.29069767441860467,0.4285714285714286,0.15929203539822945,0.5765765765765765,0.2702702702702702,0.2790697674418605,0.24231782265144863,0.7058823529411764,0.6296296296296295,0.3742591024555466,0.7,0.19999999999999996,0.5294117647058822,0.29166666666666696,0.25,0.25806451612903203,0.4464609800362984,0.33333333333333215,0.30000000000000004,0.5142541519818349,0.955826351865956,0.8101851851851851,0.569438041083961,0.5835918019826065,0.5783196901177323,0.31504710352365584,0.5945353519906205,0.4590241185794458,0.635294117647059,0.403292181069959,0.8024691358024691,0.26367346938775504,0.6747582021619569,0.39461279461279464,0.6386292834890966,0.7521154277718374,0.2565357857808259,0.815804209292919,0.6966276980200967,0.5469279030113159,0.7042901676287496,1.0,0.5132509930486591,0.4162287065074961,0.9917586460632828,0.8046402195096933,0.6167990218281323,0.7381556709935142,0.27417962533393947,0.2944094061961051,0.7050829530328961,0.8950248474910634,0.38397084349716515,0.14797150091267752,0.28293736501079914,0.42186565990246194,0.36493418206538486,0.5086863370671382,0.4914694750784503,0.35811884334286603,0.7748760074395534,0.07522607284272093,0.6873080930878777,0.6044903670391784
9,Philadelphia Flyers,0,Los Angeles Kings,2,2,0.4,0.2631578947368425,0.0,0.5862068965517242,0.2962962962962963,0.9999999999999998,0.6545454545454545,0.6567164179104477,0.5543478260869565,0.37362637362637363,0.2857142857142857,1.0,0.6104651162790697,0.2857142857142857,0.5575221238938051,0.37837837837837807,0.6216216216216217,0.5930232558139537,0.5206321334503952,0.588235294117647,0.2962962962962965,0.21930567315834093,0.10000000000000003,0.7,0.41176470588235303,0.4375000000000002,0.5675675675675675,0.5806451612903225,0.14700544464609866,0.36666666666666714,0.20000000000000004,0.8304103647115291,0.5140898705255141,0.7254464285714284,0.805572021339656,0.9038235984048792,0.8672260248767203,0.6713813563732889,0.46368492342647416,0.7220472946921986,0.9075630252100841,0.7222222222222223,0.13227513227513227,0.7179008746355684,0.961359757253935,0.7450216450216451,0.2643524699599466,0.794544204755681,0.18642102550888962,0.7374153978268558,0.6481615182301068,0.5518157406144777,0.6495070472559803,0.5242918734295934,1.0,0.914202412381341,0.40852436746476606,0.751546509701192,0.6269685106954384,0.6835821286452874,0.3820785667687252,0.7124717119807568,0.6730494975646149,0.7799372034816936,0.5761798362874435,0.7841506665036078,0.3496151077144598,0.4859694340581555,0.4420426616211799,0.3004981790757624,0.6993498154994766,0.30336584292732993,0.5578592207544469,0.6582784300920069,0.684475378737275,0.7411580700553428,0.3666666666666667,0.7105263157894743,0.0,0.6896551724137931,0.40740740740740733,0.33333333333333326,0.6545454545454545,0.6567164179104477,0.4239130434782612,0.0,0.2857142857142857,0.14285714285714285,0.8255813953488372,0.5,0.4247787610619467,0.0,0.4864864864864864,0.34883720930232576,0.4969271290605797,0.1470588235294117,0.6388888888888891,1.0,0.3,0.09999999999999998,0.5490196078431371,0.29166666666666696,0.37162162162162193,0.5161290322580645,0.3085299455535395,0.8999999999999986,0.7000000000000001,0.0,0.9964271314009219,0.3216911764705883,0.36953868684403224,0.36636723654979253,0.3675485650210626,0.7301765654994626,0.31822189037719384,0.5846594646083597,0.4391003460207614,0.3431372549019609,0.25054466230936817,0.5698199279711884,0.4188206289532692,0.37005347593582893,0.3463441451346895,0.3283620683630468,0.44787103839216735,0.31806383567301966,0.22450378738468713,0.629446102547047,0.22276977338816017,0.31236761031393123,0.3700010254306809,0.0,0.631611479028698,0.48302595137962867,0.4809340461336533,0.4218204316881349,0.3015231292266547,0.0,0.5147119224187109,0.5341596145026419,0.35603688389876087,0.0,0.7378257739380856,0.8645096743746947,0.8585995921142082,0.524854102140146,0.4750426461571893,0.03496663489037166,0.5289522628642281,0.32321264224307056,0.5220896144494618,0.0
